,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year
152,05/31/2000 02:05:00,05/31/2000 05:20:00,3.17,05/31/2000,39,,195,0.7925,0
153,05/31/2000 08:35:00,05/31/2000 16:40:00,7.82,05/31/2000,97,,485,1.955,0
154,05/31/2000 18:40:00,05/31/2000 20:50:00,5.73,05/31/2000,26,,130,1.4325,0
155,06/01/2000 00:20:00,06/01/2000 00:30:00,0.1,06/01/2000,2,,10,0.025,0
156,06/01/2000 05:55:00,06/01/2000 09:05:00,1.47,06/01/2000,38,,190,0.3675,0
157,06/01/2000 12:40:00,06/01/2000 15:15:00,9.49,06/01/2000,31,,155,2.3725,0
158,06/02/2000 04:05:00,06/02/2000 04:15:00,0.04,06/02/2000,2,,10,0.01,0
159,06/02/2000 11:00:00,06/02/2000 13:15:00,3.33,06/02/2000,27,,135,0.8325,0
160,06/03/2000 05:10:00,06/03/2000 05:45:00,9,06/03/2000,7,,35,2.25,0
161,06/03/2000 19:30:00,06/03/2000 20:35:00,0.26,06/03/2000,13,,65,0.065,0
162,06/04/2000 15:45:00,06/04/2000 16:45:00,0.39,06/04/2000,12,,60,0.0975,0
163,06/05/2000 14:55:00,06/05/2000 15:00:00,0.05,06/05/2000,1,,5,0.0125,0
164,06/08/2000 17:20:00,06/08/2000 21:20:00,6.62,06/08/2000,48,,240,1.655,0
165,06/11/2000 21:55:00,06/12/2000 07:05:00,11.94,06/11/2000,110,,550,2.985,0
166,06/12/2000 10:15:00,06/12/2000 12:45:00,3.13,06/12/2000,30,,150,0.7825,0
167,06/13/2000 06:25:00,06/13/2000 10:00:00,1.05,06/13/2000,43,,215,0.2625,0
168,06/13/2000 20:25:00,06/14/2000 06:35:00,27.75,06/13/2000,122,,610,6.9375,0
169,06/14/2000 17:45:00,06/14/2000 20:20:00,1.39,06/14/2000,31,,155,0.3475,0
170,06/15/2000 20:30:00,06/15/2000 22:55:00,5.24,06/15/2000,29,,145,1.31,0
171,06/16/2000 01:35:00,06/16/2000 06:55:00,8.22,06/16/2000,64,,320,2.055,0
172,06/16/2000 09:00:00,06/16/2000 11:05:00,7.28,06/16/2000,25,,125,1.82,0
173,06/17/2000 08:05:00,06/17/2000 08:50:00,1.21,06/17/2000,9,,45,0.3025,0
174,06/17/2000 11:25:00,06/17/2000 11:55:00,0.46,06/17/2000,6,,30,0.115,0
175,06/17/2000 15:05:00,06/17/2000 15:50:00,1.15,06/17/2000,9,,45,0.2875,0
176,06/21/2000 21:00:00,06/22/2000 01:35:00,9.94,06/21/2000,55,,275,2.485,0
177,06/24/2000 06:20:00,06/24/2000 06:55:00,0.09,06/24/2000,7,,35,0.0225,0
178,06/25/2000 18:20:00,06/26/2000 02:25:00,89.66,06/25/2000,97,,485,22.415,0
179,06/26/2000 07:15:00,06/26/2000 15:05:00,4.2,06/26/2000,94,,470,1.05,0
180,06/26/2000 20:25:00,06/26/2000 22:20:00,1.74,06/26/2000,23,,115,0.435,0
181,06/29/2000 12:05:00,06/30/2000 02:40:00,20.72,06/29/2000,175,,875,5.18,0
182,06/30/2000 09:45:00,06/30/2000 19:40:00,26.83,06/30/2000,119,,595,6.7075,0
183,07/01/2000 12:30:00,07/01/2000 21:40:00,19.18,07/01/2000,110,,550,4.795,0
184,07/02/2000 03:55:00,07/02/2000 05:05:00,3.52,07/02/2000,14,,70,0.88,0
185,07/09/2000 17:20:00,07/09/2000 23:30:00,11.97,07/09/2000,74,,370,2.9925,0
186,07/12/2000 19:25:00,07/12/2000 19:50:00,0.12,07/12/2000,5,,25,0.03,0
187,07/13/2000 12:05:00,07/13/2000 14:10:00,4.25,07/13/2000,25,,125,1.0625,0
188,07/13/2000 18:15:00,07/13/2000 20:00:00,10.39,07/13/2000,21,,105,2.5975,0
189,07/14/2000 06:50:00,07/14/2000 12:05:00,3.12,07/14/2000,63,,315,0.78,0
190,07/16/2000 00:00:00,07/16/2000 00:15:00,0.45,07/16/2000,3,,15,0.1125,0
191,07/16/2000 03:05:00,07/16/2000 03:20:00,0.04,07/16/2000,3,,15,0.01,0
192,07/16/2000 22:30:00,07/17/2000 04:50:00,20.57,07/16/2000,76,,380,5.1425,0
193,07/17/2000 07:00:00,07/17/2000 08:55:00,5.16,07/17/2000,23,,115,1.29,0
194,07/17/2000 22:50:00,07/18/2000 11:20:00,44.48,07/17/2000,150,,750,11.12,0
195,07/18/2000 22:15:00,07/18/2000 23:20:00,2.07,07/18/2000,13,,65,0.5175,0
196,07/19/2000 01:30:00,07/19/2000 03:25:00,12.7,07/19/2000,23,,115,3.175,0
197,07/19/2000 07:10:00,07/19/2000 18:15:00,4.26,07/19/2000,133,,665,1.065,0
198,07/20/2000 07:45:00,07/20/2000 17:30:00,40.71,07/20/2000,117,,585,10.1775,0
199,07/20/2000 20:35:00,07/21/2000 00:20:00,2.75,07/20/2000,45,,225,0.6875,0
200,07/21/2000 03:10:00,07/21/2000 03:35:00,0.44,07/21/2000,5,,25,0.11,0
201,07/21/2000 23:00:00,07/22/2000 00:45:00,11.25,07/21/2000,21,,105,2.8125,0
202,07/22/2000 05:55:00,07/22/2000 08:30:00,25.5,07/22/2000,31,,155,6.375,0
203,07/22/2000 16:50:00,07/22/2000 17:45:00,0.55,07/22/2000,11,,55,0.1375,0
204,07/22/2000 20:15:00,07/22/2000 21:05:00,4.03,07/22/2000,10,,50,1.0075,0
205,07/23/2000 04:05:00,07/23/2000 04:20:00,0.2,07/23/2000,3,,15,0.05,0
206,07/23/2000 11:00:00,07/23/2000 19:10:00,8.42,07/23/2000,98,,490,2.105,0
207,07/24/2000 17:20:00,07/24/2000 17:25:00,0.02,07/24/2000,1,,5,0.005,0
208,07/25/2000 01:40:00,07/25/2000 11:10:00,32.8,07/25/2000,114,,570,8.2,0
209,07/25/2000 14:55:00,07/25/2000 16:15:00,2.97,07/25/2000,16,,80,0.7425,0
210,07/26/2000 09:05:00,07/26/2000 23:55:00,70.6,07/26/2000,178,,890,17.65,0
211,07/27/2000 14:40:00,07/28/2000 02:55:00,39.27,07/27/2000,147,,735,9.8175,0
