,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year,Intensity
184,07/02/2000 03:55:00,07/02/2000 05:05:00,3.52,07/02/2000,14,,70,0.88,0,9.051428571
185,07/09/2000 17:20:00,07/09/2000 23:30:00,11.97,07/09/2000,74,,370,2.9925,0,5.823243243
186,07/12/2000 19:25:00,07/12/2000 19:50:00,0.12,07/12/2000,5,,25,0.03,0,0.864
187,07/13/2000 12:05:00,07/13/2000 14:10:00,4.25,07/13/2000,25,,125,1.0625,0,6.12
188,07/13/2000 18:15:00,07/13/2000 20:00:00,10.39,07/13/2000,21,,105,2.5975,0,17.81142857
189,07/14/2000 06:50:00,07/14/2000 12:05:00,3.12,07/14/2000,63,,315,0.78,0,1.782857143
190,07/16/2000 00:00:00,07/16/2000 00:15:00,0.45,07/16/2000,3,,15,0.1125,0,5.4
191,07/16/2000 03:05:00,07/16/2000 03:20:00,0.04,07/16/2000,3,,15,0.01,0,0.48
192,07/16/2000 22:30:00,07/17/2000 04:50:00,20.57,07/16/2000,76,,380,5.1425,0,9.743684211
193,07/17/2000 07:00:00,07/17/2000 08:55:00,5.16,07/17/2000,23,,115,1.29,0,8.076521739
194,07/17/2000 22:50:00,07/18/2000 11:20:00,44.48,07/17/2000,150,,750,11.12,0,10.6752
195,07/18/2000 22:15:00,07/18/2000 23:20:00,2.07,07/18/2000,13,,65,0.5175,0,5.732307692
196,07/19/2000 01:30:00,07/19/2000 03:25:00,12.7,07/19/2000,23,,115,3.175,0,19.87826087
197,07/19/2000 07:10:00,07/19/2000 18:15:00,4.26,07/19/2000,133,,665,1.065,0,1.153082707
198,07/20/2000 07:45:00,07/20/2000 17:30:00,40.71,07/20/2000,117,,585,10.1775,0,12.52615385
199,07/20/2000 20:35:00,07/21/2000 00:20:00,2.75,07/20/2000,45,,225,0.6875,0,2.2
200,07/21/2000 03:10:00,07/21/2000 03:35:00,0.44,07/21/2000,5,,25,0.11,0,3.168
201,07/21/2000 23:00:00,07/22/2000 00:45:00,11.25,07/21/2000,21,,105,2.8125,0,19.28571429
202,07/22/2000 05:55:00,07/22/2000 08:30:00,25.5,07/22/2000,31,,155,6.375,0,29.61290323
203,07/22/2000 16:50:00,07/22/2000 17:45:00,0.55,07/22/2000,11,,55,0.1375,0,1.8
204,07/22/2000 20:15:00,07/22/2000 21:05:00,4.03,07/22/2000,10,,50,1.0075,0,14.508
205,07/23/2000 04:05:00,07/23/2000 04:20:00,0.2,07/23/2000,3,,15,0.05,0,2.4
206,07/23/2000 11:00:00,07/23/2000 19:10:00,8.42,07/23/2000,98,,490,2.105,0,3.093061224
207,07/24/2000 17:20:00,07/24/2000 17:25:00,0.02,07/24/2000,1,,5,0.005,0,0.72
208,07/25/2000 01:40:00,07/25/2000 11:10:00,32.8,07/25/2000,114,,570,8.2,0,10.35789474
209,07/25/2000 14:55:00,07/25/2000 16:15:00,2.97,07/25/2000,16,,80,0.7425,0,6.6825
210,07/26/2000 09:05:00,07/26/2000 23:55:00,70.6,07/26/2000,178,,890,17.65,0,14.27865169
